"id","compname","partname","sca.x","sca.y","sca.z","trn.x","trn.y","trn.z","rot.11","rot.12","rot.13","rot.21","rot.22","rot.23","rot.31","rot.32","rot.33"
1600,"7mm motor mount-1","7mm motor mount",1,1,1,-26.2477639999999,26.2464075000001,-6.87499999999999,1,0,0,0,1,0,0,0,1
1100,"7mm motor mount-3","7mm motor mount",1,1,1,26.2463975000001,26.2476639999999,-6.875,1,0,0,0,1,0,0,0,1
100,"7mm motor mount-4","7mm motor mount",1,1,1,26.2476539999997,-26.2464775000003,-6.875,1,0,0,0,1,0,0,0,1
200,"7mm motor mount-5","7mm motor mount",1,1,1,-26.2465075000002,-26.2477339999998,-6.87499999999998,1,0,0,0,1,0,0,0,1
300,"7x15 motor-1","7x15 motor",1,1,1,31.6416090517573,31.6421241345212,3.375,1,0,0,0,1,0,0,0,1
400,"7x15 motor-2","7x15 motor",1,1,1,-31.64319843975,-31.64307,3.37500000000001,1,0,0,0,1,0,0,0,1
500,"7x15 motor-3","7x15 motor",1,1,1,-31.641878207799,31.642692729947,3.37500000000001,1,0,0,0,1,0,0,0,1
600,"7x15 motor-4","7x15 motor",1,1,1,31.6415176639736,-31.6421820682769,3.375,1,0,0,0,1,0,0,0,1
1700,"battery bc-bl-01-a-1","battery bc-bl-01-a",1,1,1,-8.88178419700125e-16,-0.728000000000002,2.875,1,0,0,0,1,0,0,0,1
1300,"battery holder board-1","battery holder board",1,1,1,-0.000999999999731216,2.00728322852228e-13,6.65000000000001,1,0,0,0,1,0,0,0,1
1400,"header-1","header",1,1,1,-2.66453525910038e-14,10.3850000000002,2.995,1,0,0,0,1,0,0,0,1
1200,"header-2","header",1,1,1,-2.30926389122033e-14,-10.3849999999998,2.995,1,0,0,0,1,0,0,0,1
1500,"pcb-1","pcb",1,1,1,-1.77635683940025e-15,-1.77635683940025e-15,-1.11022302462516e-15,1,0,0,0,1,0,0,0,1
700,"propeller_ccw-1","propeller_ccw",1,1,1,-31.64311,31.643,11.6249615,1,0,0,0,1,0,0,0,1
800,"propeller_ccw-2","propeller_ccw",1,1,1,31.64301365145,-31.64307817371,11.6249615,1,0,0,0,1,0,0,0,1
900,"propeller_cw-1","propeller_cw",1,1,1,-31.64306933769,-31.6430868514,11.6249615,1,0,0,0,1,0,0,0,1
1000,"propeller_cw-2","propeller_cw",1,1,1,31.643009179655,31.64303642536,11.6249615,1,0,0,0,1,0,0,0,1
